"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 01 16:22:20 GMT 2024","Wed May 01 16:22:24 GMT 2024","4280","","test_login","","","","test_login_passed_v2",""
"passed","Wed May 01 16:22:18 GMT 2024","Wed May 01 16:22:19 GMT 2024","1438","","test_login","","","","test_login_passed",""
